cardId,name_KO,name_EN,desc_KO,desc_EN,combo1_KO,combo1_EN,combo2_KO,combo2_EN
ONPREM_SAN,SAN,SAN (Storage Area Network),중앙 집중식 스토리지 영역 네트워크.,,,,,
ONPREM_BARE_METAL,Bare Metal Host,Bare Metal Host,가상화 없이 직접 실행하는 물리 서버.,,,,,
ONPREM_VM,Virtual Machine,Virtual Machine,"유연한 가상화 컴퓨팅, 워크로드를 클라우드로.",,Bare Metal Host와 함께 뽑기 +1,+1 Card Draw when combined with Bare Metal Host.,,
ONPREM_DB_SERVER,Database Server,Database Server,온프레미스 데이터베이스 서버.,,,,,
ONPREM_NETWORKING,Networking,Networking,온프레미스 네트워크 장비.,,,,,
ONPREM_DOC_STORE,Document Store,Document Store,온프레미스 문서 저장소.,,,,,
ONPREM_DW,Data Warehouse,Data Warehouse,온프레미스 데이터 웨어하우스.,,,,,
ONPREM_ID_PROVIDER,Corporate IdP,Corporate Identity Provider,사내 identity 공급자.,,,,,
WA_1VP,Well-Architected 1VP,AWS Well-Architected (1 VP),게임 종료 시 승점 1점,Provides 1 Victory Point at game end.,,,,
WA_3VP,Well-Architected 3VP,AWS Well-Architected (3 VP),게임 종료 시 승점 3점,Provides 3 Victory Points at game end.,,,,
AWS_WELL_ARCHITECTED_TOOL,Well-Architected Tool,AWS Well-Architected Tool,아키텍처를 검토하고 모범 사례를 도입하세요.,Review your architecture and adopt best practices.,"이번 턴 1VP=2, 3VP=6에 구매",Only pay 2 Credits for 1-Point and 6 Credits for 3-Point Well-Architected cards in this turn.,,
AWS_CLOUD_FINANCIAL_MANAGEMENT,Cloud Financial Mgmt,Cloud Financial Management,AWS 비용과 사용량을 관리·최적화하세요.,Tools to help control and optimize your AWS costs and usage.,도입 +1,+1 Cloud Adopt,,
AWS_EC2_AUTO_SCALING,EC2 Auto Scaling,Amazon EC2 Auto Scaling,수요에 따라 컴퓨트 용량을 조절하세요.,Add or remove compute capacity to meet changes in demand.,,,,
AWS_CLOUDFORMATION,CloudFormation,AWS CloudFormation,모든 인프라 리소스를 모델링·프로비저닝하세요.,Model and provision all your cloud infrastructure resources.,뽑기 +1,+1 Card Draw from Resource pile,,
AWS_SYSTEMS_MANAGER,Systems Manager,AWS Systems Manager,온프레미스·AWS 리소스의 운영 인사이트를 확보하세요.,Gain operational insights into resources on AWS and on-premises.,EC2와 함께 도입 +1,+1 Cloud Adopt when combined with Amazon EC2.,,
AWS_CDK,AWS CDK,AWS CDK,친숙한 프로그래밍 언어로 리소스를 정의하세요.,Define application resources using familiar programming languages.,버린 더미 1장을 덱 맨 위로,Take 1 card from Discard pile and place it on top of Resources pile.,,
AMAZON_EC2,Amazon EC2,Amazon EC2,안전하고 크기 조절 가능한 컴퓨트 용량.,Secure and resizable compute capacity in the cloud.,,,,
